,Link,Title,Price,Type,Badrooms,Bathrooms,Guests
0,https://www.airbnb.it/rooms/2090190?adults=2&check_in=2023-11-03&check_out=2023-11-05&source_impression_id=p3_1697808720_WGtkKE9prCOdaGLm&previous_page_section_name=1000&federated_search_id=51407caa-8425-42d6-b192-fad5cc138b5d,Nel centro di Cagliari da 34€ per 2 (Q4825),48€,Bilocale,1,1,2
1,https://www.airbnb.it/rooms/612686762134540952?adults=2&check_in=2023-11-03&check_out=2023-11-05&source_impression_id=p3_1697808720_ufAl977F8YDVkadL&previous_page_section_name=1000&federated_search_id=51407caa-8425-42d6-b192-fad5cc138b5d,Un Piccolo Gioiello nel Cuore di Stampace-Cagliari,58€,Monolocale,1,1,2
2,https://www.airbnb.it/rooms/796190757140763627?adults=2&check_in=2023-11-03&check_out=2023-11-05&source_impression_id=p3_1697808720_pWmsT%2B%2Bqc79%2FAeux&previous_page_section_name=1000&federated_search_id=51407caa-8425-42d6-b192-fad5cc138b5d,Alloggio Industrial-Chic centro,45€,Monolocale,0,1,2
3,https://www.airbnb.it/rooms/795642358787353792?adults=2&check_in=2023-11-03&check_out=2023-11-05&source_impression_id=p3_1697808720_RovM%2Fle%2FHY8Lb1xr&previous_page_section_name=1000&federated_search_id=51407caa-8425-42d6-b192-fad5cc138b5d,"Guesthouse, centrale e rifinito.",62€,Bilocale,1,1,3
4,https://www.airbnb.it/rooms/619585700293969277?adults=2&check_in=2023-11-03&check_out=2023-11-05&source_impression_id=p3_1697808720_2aRdAng9%2FOfnmCis&previous_page_section_name=1000&federated_search_id=51407caa-8425-42d6-b192-fad5cc138b5d,StellaMarina2 monolocale con balcone,61€,Monolocale,1,1,2
5,https://www.airbnb.it/rooms/50533746?adults=2&check_in=2023-11-03&check_out=2023-11-05&source_impression_id=p3_1697808720_w3YgMSvEzSxck4zf&previous_page_section_name=1000&federated_search_id=51407caa-8425-42d6-b192-fad5cc138b5d,SILVER Camera in centro zona turistica movida,64€,Bilocale,1,1,2
6,https://www.airbnb.it/rooms/36143963?adults=2&check_in=2023-11-03&check_out=2023-11-05&source_impression_id=p3_1697808720_vpP4A92nGOKuMGV5&previous_page_section_name=1000&federated_search_id=51407caa-8425-42d6-b192-fad5cc138b5d,L'Orchidea Bianca alla Marina di Cagliari (P1606),71€,Bilocale,1,1,4
7,https://www.airbnb.it/rooms/48512928?adults=2&check_in=2023-11-03&check_out=2023-11-05&source_impression_id=p3_1697808720_3C1EqDYk7ZvXDVub&previous_page_section_name=1000&federated_search_id=51407caa-8425-42d6-b192-fad5cc138b5d,"Appartamento nel cuore di Castello, Cagliari",71€,Bilocale,1,1,2
8,https://www.airbnb.it/rooms/38041690?adults=2&check_in=2023-11-03&check_out=2023-11-05&source_impression_id=p3_1697808720_KMi0RZbCw4pgF7Fy&previous_page_section_name=1000&federated_search_id=51407caa-8425-42d6-b192-fad5cc138b5d,Accogliente appartamento di design nel cuore del centro città,91€,Bilocale,1,1,2
9,https://www.airbnb.it/rooms/43514356?adults=2&check_in=2023-11-03&check_out=2023-11-05&source_impression_id=p3_1697808720_DCLgSX6miGsiKWkY&previous_page_section_name=1000&federated_search_id=51407caa-8425-42d6-b192-fad5cc138b5d,Tigellio Apartment-Views-Terrace-Independent Q6426,65€,Bilocale,1,1,2
10,https://www.airbnb.it/rooms/31800429?adults=2&check_in=2023-11-03&check_out=2023-11-05&source_impression_id=p3_1697808720_xLiaPxYL7aT15PfK&previous_page_section_name=1000&federated_search_id=51407caa-8425-42d6-b192-fad5cc138b5d,Mirtì boutique apartment ❤️ Cagliari,88€,Bilocale,1,1,2
11,https://www.airbnb.it/rooms/557664217181847206?adults=2&check_in=2023-11-03&check_out=2023-11-05&source_impression_id=p3_1697808720_e%2FJ8j%2BHho94wQzyL&previous_page_section_name=1000&federated_search_id=51407caa-8425-42d6-b192-fad5cc138b5d,Camera di lusso con arco in stile rustico,76€,Bilocale,1,1,2
12,https://www.airbnb.it/rooms/980451904521331791?adults=2&check_in=2023-11-03&check_out=2023-11-05&source_impression_id=p3_1697808720_te%2Fjl0PLICBKuiTX&previous_page_section_name=1000&federated_search_id=51407caa-8425-42d6-b192-fad5cc138b5d,IzzHome Delizioso,64€,Bilocale,1,1,4
13,https://www.airbnb.it/rooms/37625097?adults=2&check_in=2023-11-03&check_out=2023-11-05&source_impression_id=p3_1697808720_xcHhWBSgui0fJHQe&previous_page_section_name=1000&federated_search_id=51407caa-8425-42d6-b192-fad5cc138b5d,Millamì-Grazioso monolocale nel centro di Cagliari,79€,Monolocale,0,1,4
14,https://www.airbnb.it/rooms/658602288467171878?adults=2&check_in=2023-11-03&check_out=2023-11-05&source_impression_id=p3_1697808720_M%2BC%2BbQSFH1Pvpkf%2B&previous_page_section_name=1000&federated_search_id=51407caa-8425-42d6-b192-fad5cc138b5d,Sonnino accogliente IzzHome,64€,Monolocale,0,1,2
15,https://www.airbnb.it/rooms/1002777477999134776?adults=2&check_in=2023-11-03&check_out=2023-11-05&source_impression_id=p3_1697808720_5lni3yqMcvhXEIRh&previous_page_section_name=1000&federated_search_id=51407caa-8425-42d6-b192-fad5cc138b5d,Appartamento nuovo e centrale.,80€,Bilocale,1,1,2
16,https://www.airbnb.it/rooms/37066591?adults=2&check_in=2023-11-03&check_out=2023-11-05&source_impression_id=p3_1697808720_Xwnzhstu%2BlP3eaIb&previous_page_section_name=1000&federated_search_id=51407caa-8425-42d6-b192-fad5cc138b5d,Restituta41 - Iun P1768,92€,Monolocale,1,1,2
17,https://www.airbnb.it/rooms/2090190?adults=2&check_in=2023-11-03&check_out=2023-11-05&source_impression_id=p3_1697808720_WGtkKE9prCOdaGLm&previous_page_section_name=1000&federated_search_id=51407caa-8425-42d6-b192-fad5cc138b5d,Nel centro di Cagliari da 34€ per 2 (Q4825),48€,Bilocale,1,1,2
18,https://www.airbnb.it/rooms/612686762134540952?adults=2&check_in=2023-11-03&check_out=2023-11-05&source_impression_id=p3_1697808720_ufAl977F8YDVkadL&previous_page_section_name=1000&federated_search_id=51407caa-8425-42d6-b192-fad5cc138b5d,Un Piccolo Gioiello nel Cuore di Stampace-Cagliari,58€,Monolocale,1,1,2
19,https://www.airbnb.it/rooms/796190757140763627?adults=2&check_in=2023-11-03&check_out=2023-11-05&source_impression_id=p3_1697808720_pWmsT%2B%2Bqc79%2FAeux&previous_page_section_name=1000&federated_search_id=51407caa-8425-42d6-b192-fad5cc138b5d,Alloggio Industrial-Chic centro,45€,Monolocale,0,1,2
20,https://www.airbnb.it/rooms/795642358787353792?adults=2&check_in=2023-11-03&check_out=2023-11-05&source_impression_id=p3_1697808720_RovM%2Fle%2FHY8Lb1xr&previous_page_section_name=1000&federated_search_id=51407caa-8425-42d6-b192-fad5cc138b5d,"Guesthouse, centrale e rifinito.",62€,Bilocale,1,1,3
21,https://www.airbnb.it/rooms/619585700293969277?adults=2&check_in=2023-11-03&check_out=2023-11-05&source_impression_id=p3_1697808720_2aRdAng9%2FOfnmCis&previous_page_section_name=1000&federated_search_id=51407caa-8425-42d6-b192-fad5cc138b5d,StellaMarina2 monolocale con balcone,61€,Monolocale,1,1,2
22,https://www.airbnb.it/rooms/50533746?adults=2&check_in=2023-11-03&check_out=2023-11-05&source_impression_id=p3_1697808720_w3YgMSvEzSxck4zf&previous_page_section_name=1000&federated_search_id=51407caa-8425-42d6-b192-fad5cc138b5d,SILVER Camera in centro zona turistica movida,64€,Bilocale,1,1,2
23,https://www.airbnb.it/rooms/36143963?adults=2&check_in=2023-11-03&check_out=2023-11-05&source_impression_id=p3_1697808720_vpP4A92nGOKuMGV5&previous_page_section_name=1000&federated_search_id=51407caa-8425-42d6-b192-fad5cc138b5d,L'Orchidea Bianca alla Marina di Cagliari (P1606),71€,Bilocale,1,1,4
24,https://www.airbnb.it/rooms/48512928?adults=2&check_in=2023-11-03&check_out=2023-11-05&source_impression_id=p3_1697808720_3C1EqDYk7ZvXDVub&previous_page_section_name=1000&federated_search_id=51407caa-8425-42d6-b192-fad5cc138b5d,"Appartamento nel cuore di Castello, Cagliari",71€,Bilocale,1,1,2
25,https://www.airbnb.it/rooms/38041690?adults=2&check_in=2023-11-03&check_out=2023-11-05&source_impression_id=p3_1697808720_KMi0RZbCw4pgF7Fy&previous_page_section_name=1000&federated_search_id=51407caa-8425-42d6-b192-fad5cc138b5d,Accogliente appartamento di design nel cuore del centro città,91€,Bilocale,1,1,2
26,https://www.airbnb.it/rooms/43514356?adults=2&check_in=2023-11-03&check_out=2023-11-05&source_impression_id=p3_1697808720_DCLgSX6miGsiKWkY&previous_page_section_name=1000&federated_search_id=51407caa-8425-42d6-b192-fad5cc138b5d,Tigellio Apartment-Views-Terrace-Independent Q6426,65€,Bilocale,1,1,2
27,https://www.airbnb.it/rooms/31800429?adults=2&check_in=2023-11-03&check_out=2023-11-05&source_impression_id=p3_1697808720_xLiaPxYL7aT15PfK&previous_page_section_name=1000&federated_search_id=51407caa-8425-42d6-b192-fad5cc138b5d,Mirtì boutique apartment ❤️ Cagliari,88€,Bilocale,1,1,2
28,https://www.airbnb.it/rooms/557664217181847206?adults=2&check_in=2023-11-03&check_out=2023-11-05&source_impression_id=p3_1697808720_e%2FJ8j%2BHho94wQzyL&previous_page_section_name=1000&federated_search_id=51407caa-8425-42d6-b192-fad5cc138b5d,Camera di lusso con arco in stile rustico,76€,Bilocale,1,1,2
29,https://www.airbnb.it/rooms/980451904521331791?adults=2&check_in=2023-11-03&check_out=2023-11-05&source_impression_id=p3_1697808720_te%2Fjl0PLICBKuiTX&previous_page_section_name=1000&federated_search_id=51407caa-8425-42d6-b192-fad5cc138b5d,IzzHome Delizioso,64€,Bilocale,1,1,4
30,https://www.airbnb.it/rooms/37625097?adults=2&check_in=2023-11-03&check_out=2023-11-05&source_impression_id=p3_1697808720_xcHhWBSgui0fJHQe&previous_page_section_name=1000&federated_search_id=51407caa-8425-42d6-b192-fad5cc138b5d,Millamì-Grazioso monolocale nel centro di Cagliari,79€,Monolocale,0,1,4
31,https://www.airbnb.it/rooms/658602288467171878?adults=2&check_in=2023-11-03&check_out=2023-11-05&source_impression_id=p3_1697808720_M%2BC%2BbQSFH1Pvpkf%2B&previous_page_section_name=1000&federated_search_id=51407caa-8425-42d6-b192-fad5cc138b5d,Sonnino accogliente IzzHome,64€,Monolocale,0,1,2
32,https://www.airbnb.it/rooms/1002777477999134776?adults=2&check_in=2023-11-03&check_out=2023-11-05&source_impression_id=p3_1697808720_5lni3yqMcvhXEIRh&previous_page_section_name=1000&federated_search_id=51407caa-8425-42d6-b192-fad5cc138b5d,Appartamento nuovo e centrale.,80€,Bilocale,1,1,2
