,Link,Title,Price,Type,Badrooms,Bathrooms,Guests
0,https://www.airbnb.it/rooms/43620393?check_in=2023-12-15&check_out=2023-12-17&source_impression_id=p3_1697831446_%2FjctduUU5HeK24bI&previous_page_section_name=1000&federated_search_id=3dbab9ed-c1a6-4776-a436-f4f180baccc9,loft indipendente in centro,54€,Bilocale,1,1,2
1,https://www.airbnb.it/rooms/46157145?category_tag=Tag%3A8678&enable_m3_private_room=true&photo_id=1226025204&check_in=2023-12-15&check_out=2023-12-17&source_impression_id=p3_1697831446_ArmGNaJqjzDgVejy&previous_page_section_name=1000&federated_search_id=3dbab9ed-c1a6-4776-a436-f4f180baccc9,Soggiorna con Andrea,53€,Bilocale,1,1,0
2,https://www.airbnb.it/rooms/980451904521331791?check_in=2023-12-15&check_out=2023-12-17&source_impression_id=p3_1697831446_5jJtU35llCFs%2BOOg&previous_page_section_name=1000&federated_search_id=3dbab9ed-c1a6-4776-a436-f4f180baccc9,IzzHome Delizioso,63€,Bilocale,1,1,4
3,https://www.airbnb.it/rooms/19240956?check_in=2023-12-15&check_out=2023-12-17&source_impression_id=p3_1697831446_uobV%2BdqIuaub3knG&previous_page_section_name=1000&federated_search_id=3dbab9ed-c1a6-4776-a436-f4f180baccc9,Casa vacanze Cagliari centro,88€,Trilocale,2,1,5
4,https://www.airbnb.it/rooms/890942391491384731?check_in=2023-12-15&check_out=2023-12-17&source_impression_id=p3_1697831446_kZ%2BcS3dCENdVcnaU&previous_page_section_name=1000&federated_search_id=3dbab9ed-c1a6-4776-a436-f4f180baccc9,Repubblica appartamento design con 2 camere letto,102€,Trilocale,2,1,4
5,https://www.airbnb.it/rooms/50865213?check_in=2023-12-15&check_out=2023-12-17&source_impression_id=p3_1697831446_HJ4KfCK5b1iRtMja&previous_page_section_name=1000&federated_search_id=3dbab9ed-c1a6-4776-a436-f4f180baccc9,Le stanze di elisa,71€,Bilocale,1,1,2
6,https://www.airbnb.it/rooms/964339085642889872?check_in=2023-12-15&check_out=2023-12-17&source_impression_id=p3_1697831446_a8zAR8vuy2NtFVlT&previous_page_section_name=1000&federated_search_id=3dbab9ed-c1a6-4776-a436-f4f180baccc9,[Centro città]5min[Poetto]10 min•[Wi-Fi Netflix],85€,Bilocale,1,1,4
7,https://www.airbnb.it/rooms/20264994?check_in=2023-12-15&check_out=2023-12-17&source_impression_id=p3_1697831446_HDQN2TBzEoJSvHEC&previous_page_section_name=1000&federated_search_id=3dbab9ed-c1a6-4776-a436-f4f180baccc9,Central - The Sunny Flat,75€,Trilocale,2,1,7
8,https://www.airbnb.it/rooms/38504970?check_in=2023-12-15&check_out=2023-12-17&source_impression_id=p3_1697831446_lnMhfhfYWbYZP%2Bi5&previous_page_section_name=1000&federated_search_id=3dbab9ed-c1a6-4776-a436-f4f180baccc9,L'accogliente appartamento,80€,Bilocale,1,1,2
9,https://www.airbnb.it/rooms/33369767?check_in=2023-12-15&check_out=2023-12-17&source_impression_id=p3_1697831446_E43sMuxH6qylOG6Q&previous_page_section_name=1000&federated_search_id=3dbab9ed-c1a6-4776-a436-f4f180baccc9,Casa Crizia,105€,Trilocale,2,1,4
10,https://www.airbnb.it/rooms/986954931340925465?check_in=2023-12-15&check_out=2023-12-17&source_impression_id=p3_1697831446_qpyzTyT7TO2Sh7wj&previous_page_section_name=1000&federated_search_id=3dbab9ed-c1a6-4776-a436-f4f180baccc9,Piccolo bivano in centro,82€,Bilocale,1,1,4
11,https://www.airbnb.it/rooms/738526118870827579?check_in=2023-12-15&check_out=2023-12-17&source_impression_id=p3_1697831446_uueVTjQLvXQEZORn&previous_page_section_name=1000&federated_search_id=3dbab9ed-c1a6-4776-a436-f4f180baccc9,Appartamento Bellini Lorenz: San Benedetto Cagliari,100€,bilocale,1,1,4
12,https://www.airbnb.it/rooms/36553179?adults=1&children=0&enable_m3_private_room=true&infants=0&pets=0&check_in=2023-12-14&check_out=2023-12-18&source_impression_id=p3_1697831446_cUOFDes0QSwKzMeh&previous_page_section_name=1000&federated_search_id=3dbab9ed-c1a6-4776-a436-f4f180baccc9,Sa Martinica,57€,Monolocale,1,1,3
13,https://www.airbnb.it/rooms/37412672?adults=1&children=0&enable_m3_private_room=true&infants=0&pets=0&check_in=2023-12-14&check_out=2023-12-17&source_impression_id=p3_1697831446_3yUvyUdDaiMv%2Bb3Z&previous_page_section_name=1000&federated_search_id=3dbab9ed-c1a6-4776-a436-f4f180baccc9,"Gina Apartment Centre vicino a Bus-Metro, WIFI GRATUITO",92€,Trilocale,2,1,6
14,https://www.airbnb.it/rooms/11622487?adults=1&children=0&enable_m3_private_room=true&infants=0&pets=0&check_in=2023-12-14&check_out=2023-12-17&source_impression_id=p3_1697831446_S05gpgca%2FtDoTm1R&previous_page_section_name=1000&federated_search_id=3dbab9ed-c1a6-4776-a436-f4f180baccc9,trivano nel cuore di Cagliari,95€,Trilocale,2,1,4
15,https://www.airbnb.it/rooms/45965106?adults=1&children=0&enable_m3_private_room=true&infants=0&pets=0&check_in=2023-12-14&check_out=2023-12-17&source_impression_id=p3_1697831446_4H6H%2F9ClfD1ri8sk&previous_page_section_name=1000&federated_search_id=3dbab9ed-c1a6-4776-a436-f4f180baccc9,Appartamento a due passi dal Teatro Lirico,85€,Trilocale,2,1,4
16,https://www.airbnb.it/rooms/43620393?check_in=2023-12-15&check_out=2023-12-17&source_impression_id=p3_1697831446_%2FjctduUU5HeK24bI&previous_page_section_name=1000&federated_search_id=3dbab9ed-c1a6-4776-a436-f4f180baccc9,loft indipendente in centro,54€,Bilocale,1,1,2
17,https://www.airbnb.it/rooms/46157145?category_tag=Tag%3A8678&enable_m3_private_room=true&photo_id=1226025204&check_in=2023-12-15&check_out=2023-12-17&source_impression_id=p3_1697831446_ArmGNaJqjzDgVejy&previous_page_section_name=1000&federated_search_id=3dbab9ed-c1a6-4776-a436-f4f180baccc9,Soggiorna con Andrea,53€,Bilocale,1,1,0
18,https://www.airbnb.it/rooms/980451904521331791?check_in=2023-12-15&check_out=2023-12-17&source_impression_id=p3_1697831446_5jJtU35llCFs%2BOOg&previous_page_section_name=1000&federated_search_id=3dbab9ed-c1a6-4776-a436-f4f180baccc9,IzzHome Delizioso,63€,Bilocale,1,1,4
19,https://www.airbnb.it/rooms/19240956?check_in=2023-12-15&check_out=2023-12-17&source_impression_id=p3_1697831446_uobV%2BdqIuaub3knG&previous_page_section_name=1000&federated_search_id=3dbab9ed-c1a6-4776-a436-f4f180baccc9,Casa vacanze Cagliari centro,88€,Trilocale,2,1,5
